Age,Gender,Height,Weight,CALC,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,CAEC,MTRANS,NObeyesdad
21,1,1.5,65.0,1,0,2.0,3.0,0,0,2.0,1,2.0,2.0,1,0,2
22,1,1.56,49.0,0,1,2.0,3.0,1,0,1.0,0,2.0,0.0,1,1,0
21,1,1.6,48.0,1,1,2.0,3.0,0,0,1.0,0,1.0,0.0,1,0,0
23,0,1.65,67.0,1,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
21,1,1.75,88.0,1,1,2.0,3.0,0,0,3.0,1,3.0,0.0,1,0,2
21,1,1.67,75.0,1,1,2.0,3.0,0,0,2.0,1,1.0,0.0,1,0,1
23,0,1.68,60.0,0,0,2.0,4.0,0,0,2.0,0,0.0,0.0,2,1,0
21,1,1.66,64.0,0,1,1.0,3.0,0,0,1.0,1,0.0,0.0,1,0,0
21,0,1.66,62.0,2,1,2.0,3.0,0,1,2.0,1,1.0,1.0,1,0,0
21,0,1.81,80.0,0,0,1.0,3.0,0,0,2.0,0,2.0,0.0,0,0,0
21,1,1.53,65.0,0,0,2.0,3.0,0,0,1.0,1,0.0,1.0,1,0,2
21,0,1.82,72.0,1,1,1.0,3.0,0,0,3.0,1,2.0,0.0,2,0,0
21,0,1.75,72.0,1,1,1.0,3.0,0,0,3.0,1,2.0,0.0,2,0,0
20,1,1.66,60.0,1,0,3.0,3.0,0,0,2.0,1,1.0,0.0,1,1,0
21,1,1.55,50.0,1,1,2.0,3.0,0,0,2.0,0,0.0,0.0,1,0,0
21,1,1.61,54.5,1,1,3.0,3.0,0,0,3.0,1,0.0,1.0,1,1,0
20,1,1.5,44.0,1,1,2.0,3.0,0,0,1.0,0,0.0,0.0,1,2,0
23,1,1.64,52.0,0,1,3.0,1.0,0,0,2.0,0,2.0,2.0,1,0,0
23,1,1.63,55.0,0,0,3.0,3.0,1,0,2.0,1,2.0,1.0,0,0,0
22,1,1.6,55.0,0,0,3.0,4.0,0,0,3.0,0,2.0,0.0,3,0,0
23,0,1.68,62.0,1,0,2.0,4.0,0,0,2.0,0,0.0,0.0,2,2,0
22,0,1.7,70.0,1,1,2.0,3.0,0,0,1.0,1,0.0,1.0,1,2,0
21,0,1.64,65.0,0,0,2.0,3.0,0,0,1.0,1,0.0,1.0,1,0,0
17,1,1.65,67.0,0,1,3.0,1.0,0,0,2.0,1,1.0,1.0,1,1,0
20,0,1.76,55.0,0,1,2.0,4.0,0,0,3.0,1,2.0,2.0,1,0,4
21,1,1.55,49.0,1,1,2.0,3.0,0,0,3.0,1,3.0,1.0,1,0,0
20,0,1.65,58.0,1,1,2.0,3.0,0,0,2.0,0,3.0,1.0,1,0,0
22,0,1.67,62.0,1,1,2.0,1.0,0,0,2.0,0,0.0,0.0,0,0,0
22,0,1.68,55.0,1,1,2.0,3.0,0,0,2.0,1,0.0,2.0,1,2,0
21,1,1.66,57.0,0,1,2.0,3.0,0,0,1.0,1,1.0,1.0,2,0,0
21,1,1.62,69.0,0,1,1.0,3.0,0,0,2.0,1,0.0,1.0,2,0,1
23,0,1.8,90.0,2,1,1.0,3.0,0,0,2.0,1,0.0,2.0,3,0,2
23,0,1.65,95.0,2,1,2.0,3.0,0,0,2.0,1,0.0,1.0,3,2,3
30,0,1.76,112.0,2,1,1.0,3.0,1,1,2.0,1,0.0,0.0,0,2,5
23,0,1.8,60.0,1,0,2.0,3.0,0,0,3.0,1,0.0,1.0,0,0,0
23,1,1.65,80.0,0,1,2.0,3.0,0,0,2.0,1,0.0,2.0,3,0,2
22,1,1.67,50.0,1,0,3.0,3.0,1,0,3.0,1,2.0,1.0,0,0,4
24,1,1.65,60.0,0,0,2.0,3.0,1,0,3.0,1,1.0,0.0,1,0,0
19,0,1.85,65.0,1,0,2.0,3.0,0,0,3.0,1,2.0,1.0,1,4,0
24,0,1.7,85.0,2,1,2.0,3.0,0,0,3.0,1,0.0,1.0,2,0,2
23,1,1.63,45.0,0,0,3.0,3.0,1,0,3.0,1,2.0,0.0,1,0,4
24,1,1.6,45.0,0,0,2.0,3.0,0,0,2.0,1,1.0,0.0,0,0,4
24,1,1.7,80.0,0,1,2.0,3.0,0,0,3.0,1,0.0,0.0,1,0,2
23,1,1.65,90.0,0,1,2.0,3.0,0,0,3.0,1,0.0,1.0,1,0,3
23,0,1.65,60.0,1,0,2.0,3.0,0,0,2.0,1,0.0,0.0,1,0,0
19,1,1.63,58.0,0,0,3.0,3.0,1,0,2.0,0,0.0,0.0,1,0,0
30,0,1.8,91.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,2,0,2
23,0,1.67,85.5,0,1,2.0,3.0,0,0,2.0,1,0.0,1.0,3,0,3
19,1,1.6,45.0,0,0,3.0,3.0,1,0,3.0,0,2.0,0.0,0,1,4
25,0,1.7,83.0,1,1,2.0,3.0,0,0,2.0,1,0.0,1.0,2,0,2
23,0,1.65,58.5,0,0,2.0,3.0,0,0,2.0,1,0.0,0.0,1,0,0
21,0,1.85,83.0,0,1,2.0,1.0,0,0,3.0,1,1.0,0.0,2,0,0
19,0,1.82,87.0,0,1,2.0,3.0,0,0,2.0,1,0.0,0.0,1,0,1
22,1,1.65,65.0,0,1,2.0,3.0,1,0,2.0,1,1.0,0.0,2,2,0
29,1,1.7,78.0,2,1,3.0,3.0,0,0,1.0,1,2.0,1.0,1,2,2
25,1,1.63,93.0,0,0,3.0,4.0,0,0,1.0,0,2.0,0.0,3,0,5
20,1,1.61,64.0,2,0,3.0,3.0,1,0,2.0,1,0.0,1.0,3,0,0
55,0,1.78,84.0,2,0,3.0,4.0,1,0,3.0,1,3.0,0.0,2,1,1
20,1,1.6,57.0,0,0,3.0,3.0,0,0,2.0,0,1.0,0.0,3,1,0
24,1,1.6,48.0,0,1,3.0,3.0,0,0,2.0,0,2.0,0.0,1,0,0
26,0,1.7,70.0,2,0,3.0,1.0,0,0,2.0,1,2.0,0.0,2,0,0
23,1,1.66,60.0,1,0,2.0,3.0,0,0,2.0,1,3.0,0.0,1,0,0
21,1,1.52,42.0,1,0,3.0,1.0,0,0,1.0,0,0.0,0.0,2,0,4
21,1,1.52,42.0,1,0,3.0,1.0,0,0,1.0,0,0.0,0.0,2,0,4
23,0,1.72,70.0,2,0,2.0,3.0,0,0,2.0,0,3.0,1.0,1,0,0
21,1,1.69,63.0,1,1,3.0,1.0,0,0,1.0,0,0.0,0.0,1,0,0
22,0,1.7,66.4,0,0,2.0,3.0,0,0,2.0,1,0.0,0.0,2,0,0
21,1,1.55,57.0,1,1,2.0,4.0,1,0,2.0,0,2.0,0.0,2,2,0
22,1,1.65,58.0,1,1,3.0,4.0,0,0,2.0,1,1.0,0.0,2,0,0
38,1,1.56,80.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,1,2,3
25,1,1.57,55.0,1,1,2.0,1.0,0,0,2.0,0,2.0,0.0,1,0,0
25,1,1.57,55.0,1,1,2.0,1.0,0,0,2.0,0,2.0,0.0,1,0,0
22,0,1.88,90.0,1,1,2.0,3.0,0,0,1.0,1,0.0,1.0,3,2,1
22,0,1.75,95.0,0,0,2.0,3.0,0,0,3.0,1,3.0,2.0,1,1,3
21,1,1.65,88.0,0,1,3.0,1.0,0,0,3.0,1,2.0,1.0,1,0,3
21,0,1.75,75.0,1,1,3.0,3.0,0,0,2.0,1,0.0,1.0,1,0,0
22,1,1.58,58.0,0,1,2.0,1.0,0,0,1.0,1,0.0,0.0,1,0,0
18,1,1.56,51.0,1,1,2.0,4.0,0,0,2.0,1,1.0,0.0,2,0,0
22,1,1.5,49.0,0,0,2.0,1.0,0,0,2.0,1,3.0,0.0,1,1,0
19,1,1.61,62.0,2,1,3.0,1.0,0,0,2.0,1,1.0,0.0,2,0,0
17,1,1.75,57.0,0,1,3.0,3.0,0,0,2.0,1,0.0,1.0,2,0,0
15,1,1.65,86.0,0,1,3.0,3.0,0,0,1.0,1,3.0,2.0,1,1,3
17,1,1.7,85.0,0,0,2.0,3.0,0,0,2.0,1,1.0,1.0,2,0,2
23,0,1.62,53.0,1,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
19,1,1.63,76.0,1,0,3.0,3.0,0,1,3.0,1,2.0,1.0,2,2,2
23,1,1.67,75.0,0,1,2.0,3.0,0,1,2.0,1,0.0,2.0,2,1,1
23,0,1.87,95.0,2,1,1.0,3.0,0,0,2.0,1,0.0,2.0,2,0,2
21,0,1.75,50.0,0,0,3.0,4.0,0,0,1.0,1,1.0,0.0,2,1,4
24,0,1.66,67.0,0,1,3.0,1.0,0,0,2.0,1,1.0,0.0,1,0,0
23,0,1.76,90.0,0,1,3.0,3.0,0,0,1.0,0,0.0,0.0,1,0,2
18,0,1.75,80.0,2,1,2.0,3.0,0,0,2.0,1,0.0,0.0,3,0,1
19,0,1.67,68.0,1,1,2.0,3.0,0,0,2.0,0,1.0,0.0,1,0,0
19,1,1.65,61.0,1,1,3.0,1.0,1,0,3.0,0,1.0,0.0,1,0,0
20,0,1.72,70.0,1,1,3.0,3.0,0,0,1.0,1,0.0,0.0,2,0,0
27,0,1.7,78.0,2,1,3.0,3.0,0,0,3.0,0,1.0,1.0,1,0,2
20,1,1.58,53.0,0,1,2.0,4.0,0,0,2.0,1,1.0,1.0,2,0,0
23,0,1.62,58.0,0,0,2.0,3.0,0,0,1.0,0,1.0,0.0,1,0,0
19,1,1.65,56.0,2,1,3.0,3.0,1,1,3.0,1,1.0,2.0,2,0,0
61,1,1.65,66.0,2,1,3.0,3.0,0,0,2.0,0,1.0,1.0,3,0,0
30,0,1.77,109.0,1,1,3.0,3.0,0,0,1.0,1,2.0,0.0,1,2,3
24,0,1.7,75.0,1,1,2.0,3.0,0,0,2.0,1,1.0,0.0,1,2,1
25,0,1.79,72.0,1,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
44,0,1.6,80.0,0,0,2.0,3.0,0,1,3.0,1,0.0,0.0,1,3,3
31,0,1.76,75.0,0,0,3.0,3.0,1,0,3.0,1,3.0,0.0,3,4,0
25,0,1.7,68.0,0,1,2.0,3.0,0,0,2.0,0,0.0,1.0,2,0,0
23,0,1.89,65.0,1,1,3.0,3.0,0,0,3.0,1,1.0,1.0,2,0,4
25,0,1.87,66.0,2,1,3.0,3.0,0,0,2.0,0,2.0,0.0,3,0,0
23,0,1.74,93.5,2,1,2.0,3.0,0,1,1.0,0,1.0,1.0,2,2,3
34,1,1.68,75.0,1,1,3.0,1.0,0,0,1.0,0,0.0,0.0,1,2,1
22,0,1.61,67.0,1,0,2.0,4.0,1,0,3.0,1,2.0,2.0,1,0,1
21,0,1.62,70.0,1,1,2.0,1.0,0,0,3.0,0,1.0,0.0,0,0,1
24,1,1.56,51.0,2,0,3.0,3.0,0,0,2.0,0,2.0,2.0,2,0,0
36,1,1.63,80.0,1,0,3.0,3.0,0,0,1.0,1,0.0,0.0,1,2,3
27,1,1.6,61.0,1,1,3.0,3.0,0,0,2.0,0,0.0,0.0,3,2,0
32,1,1.67,90.0,1,1,3.0,1.0,0,0,2.0,1,2.0,0.0,1,2,3
25,0,1.78,78.0,1,1,2.0,1.0,0,0,2.0,1,2.0,1.0,1,0,0
30,1,1.62,59.0,1,1,3.0,3.0,0,0,2.0,1,2.0,0.0,1,2,0
38,1,1.5,60.0,1,1,2.0,1.0,0,1,2.0,1,0.0,0.0,3,2,1
34,0,1.69,84.0,0,0,2.0,3.0,0,0,3.0,1,2.0,0.0,1,2,2
22,0,1.74,94.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,1,0,3
31,1,1.68,63.0,1,1,3.0,1.0,0,0,2.0,1,1.0,1.0,2,2,0
35,1,1.53,45.0,0,0,3.0,3.0,0,0,1.0,1,0.0,1.0,2,2,0
21,0,1.67,60.0,1,1,2.0,3.0,0,0,2.0,1,2.0,1.0,2,0,0
40,1,1.55,62.0,1,0,3.0,3.0,0,0,3.0,1,0.0,0.0,1,2,1
27,0,1.64,78.0,2,1,2.0,1.0,0,0,2.0,1,0.0,0.0,1,2,2
20,0,1.83,72.0,1,0,3.0,3.0,0,1,1.0,1,2.0,1.0,1,0,0
55,0,1.65,80.0,0,1,2.0,3.0,0,0,2.0,0,1.0,0.0,1,2,2
21,1,1.63,60.0,1,1,3.0,3.0,0,1,2.0,1,2.0,0.0,3,0,0
25,0,1.89,75.0,0,0,3.0,3.0,1,0,2.0,0,3.0,0.0,2,0,0
35,0,1.77,85.0,1,0,3.0,3.0,0,0,3.0,1,2.0,1.0,2,2,2
30,0,1.92,130.0,1,0,2.0,3.0,0,1,1.0,1,1.0,0.0,1,0,5
29,1,1.74,72.0,1,0,3.0,3.0,0,0,2.0,1,0.0,0.0,3,2,0
20,0,1.65,80.0,0,0,2.0,3.0,0,0,2.0,1,1.0,2.0,1,1,2
22,1,1.73,79.0,1,1,2.0,1.0,0,0,2.0,1,1.0,0.0,1,0,1
45,1,1.63,77.0,0,1,2.0,3.0,0,0,1.0,1,0.0,0.0,2,2,2
22,0,1.72,82.0,1,1,2.0,1.0,0,0,2.0,0,2.0,1.0,1,0,2
18,0,1.6,58.0,1,1,2.0,3.0,0,0,2.0,1,1.0,0.0,2,0,0
23,1,1.65,59.0,1,0,3.0,1.0,0,0,2.0,0,1.0,2.0,1,0,0
18,0,1.74,64.0,0,0,3.0,3.0,1,0,2.0,0,0.0,1.0,1,0,0
21,0,1.62,70.0,1,1,2.0,1.0,0,0,3.0,0,1.0,0.0,0,0,1
38,1,1.64,59.8,0,1,2.0,3.0,0,0,2.0,1,2.0,0.0,1,0,0
18,1,1.57,48.0,0,1,3.0,1.0,0,0,1.0,1,1.0,0.0,3,0,0
22,0,1.84,84.0,1,1,3.0,3.0,1,0,2.0,1,3.0,0.0,2,0,0
26,0,1.91,84.0,2,1,3.0,3.0,0,1,2.0,1,2.0,2.0,2,0,0
21,0,1.62,70.0,1,1,2.0,1.0,0,0,3.0,0,1.0,0.0,0,0,1
18,1,1.58,48.0,0,1,2.0,3.0,0,0,2.0,0,1.0,0.0,1,0,0
23,1,1.68,67.0,1,1,2.0,3.0,0,0,1.0,1,0.0,0.0,2,0,0
22,1,1.68,52.0,0,1,3.0,3.0,0,0,2.0,0,0.0,1.0,2,0,4
23,1,1.48,60.0,1,1,2.0,1.0,0,1,1.0,1,0.0,0.0,1,0,2
21,0,1.62,70.0,1,1,2.0,1.0,0,0,3.0,0,1.0,0.0,0,0,1
31,1,1.62,68.0,1,0,3.0,3.0,0,0,2.0,0,1.0,0.0,1,2,1
39,0,1.78,96.0,2,0,2.0,3.0,0,0,3.0,1,1.0,0.0,1,2,3
25,0,1.78,98.0,0,0,2.0,3.0,0,0,3.0,1,3.0,2.0,1,0,3
35,0,1.78,105.0,2,1,3.0,1.0,0,0,3.0,1,3.0,1.0,0,2,3
33,1,1.63,62.0,0,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
20,0,1.6,56.0,1,1,2.0,3.0,0,0,2.0,0,1.0,0.0,1,0,0
26,0,1.75,80.0,1,1,3.0,1.0,1,1,2.0,1,2.0,0.0,2,0,1
20,0,1.83,85.0,1,0,3.0,3.0,1,0,3.0,1,3.0,0.0,1,2,1
20,0,1.78,68.0,0,0,2.0,1.0,1,0,3.0,0,2.0,1.0,2,0,0
23,1,1.6,83.0,0,1,3.0,3.0,0,0,3.0,1,3.0,0.0,2,0,3
19,0,1.8,85.0,1,1,3.0,3.0,0,0,2.0,1,1.0,1.0,1,1,1
22,0,1.75,74.0,1,0,2.0,3.0,0,0,2.0,1,1.0,2.0,1,4,0
41,0,1.75,118.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,1,4,5
18,1,1.59,40.0,0,1,2.0,1.0,0,0,1.0,1,0.0,2.0,2,0,4
23,1,1.66,60.0,1,1,2.0,1.0,0,0,1.0,1,1.0,1.0,1,0,0
23,1,1.63,83.0,1,0,3.0,1.0,0,1,3.0,1,1.0,2.0,1,0,3
41,1,1.54,80.0,1,1,2.0,3.0,0,0,1.0,1,0.0,0.0,3,2,3
26,1,1.56,102.0,1,1,3.0,3.0,0,1,1.0,1,0.0,1.0,1,0,6
29,0,1.69,90.0,1,0,2.0,3.0,0,0,3.0,1,1.0,0.0,1,2,3
27,0,1.83,71.0,0,1,2.0,3.0,0,0,2.0,1,3.0,2.0,1,2,0
23,1,1.6,78.0,2,1,2.0,1.0,0,1,2.0,1,1.0,0.0,1,0,3
19,0,1.75,100.0,0,1,2.0,3.0,0,0,2.0,1,2.0,0.0,2,0,3
30,0,1.75,73.0,1,0,2.0,3.0,1,0,2.0,1,1.0,0.0,0,1,0
22,1,1.69,65.0,1,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
22,1,1.69,65.0,1,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
20,0,1.8,114.0,0,1,2.0,3.0,0,0,2.0,1,0.0,1.0,2,0,5
21,1,1.63,51.0,0,1,2.0,1.0,0,0,1.0,0,1.0,1.0,1,0,0
24,1,1.5,63.0,0,0,2.0,1.0,0,0,2.0,1,0.0,0.0,1,0,2
21,0,1.8,62.0,0,1,3.0,3.0,0,0,2.0,1,1.0,0.0,1,0,0
21,0,1.65,53.0,1,1,2.0,3.0,0,0,2.0,1,1.0,0.0,1,0,0
21,0,1.68,70.0,1,1,3.0,3.0,0,0,3.0,1,0.0,2.0,1,0,0
23,1,1.6,63.0,1,0,3.0,3.0,0,0,2.0,1,3.0,0.0,2,1,0
21,0,1.71,75.0,2,0,2.0,3.0,1,0,3.0,0,3.0,1.0,2,2,1
21,1,1.5,42.3,0,0,1.0,1.0,0,0,2.0,1,3.0,0.0,1,0,0
21,1,1.6,68.0,1,1,2.0,3.0,0,0,3.0,1,1.0,0.0,1,0,1
21,1,1.75,78.0,2,0,2.0,3.0,1,0,2.0,1,0.0,2.0,2,0,1
23,0,1.72,82.0,1,1,2.0,1.0,0,0,1.0,1,1.0,1.0,1,0,2
21,1,1.72,66.5,0,1,3.0,4.0,0,0,3.0,1,0.0,2.0,3,0,0
22,1,1.61,63.0,0,1,3.0,3.0,0,0,3.0,1,1.0,0.0,2,0,0
23,1,1.63,82.0,0,1,2.0,1.0,0,0,2.0,1,0.0,0.0,1,0,3
25,0,1.83,121.0,1,0,3.0,3.0,0,0,3.0,1,2.0,0.0,1,1,5
20,1,1.6,50.0,0,1,2.0,3.0,0,0,1.0,0,0.0,1.0,1,2,0
24,1,1.62,58.0,1,1,3.0,3.0,0,0,2.0,0,1.0,1.0,1,0,0
40,1,1.68,80.0,0,0,3.0,3.0,0,0,3.0,0,0.0,0.0,1,2,2
32,0,1.75,120.0,0,0,3.0,3.0,0,0,3.0,1,0.0,2.0,1,2,5
20,0,1.9,91.0,1,1,3.0,4.0,0,0,3.0,1,2.0,0.0,1,1,1
21,1,1.63,66.0,1,1,3.0,1.0,0,1,3.0,1,0.0,0.0,1,0,0
51,1,1.59,50.0,0,0,3.0,3.0,1,1,3.0,1,2.0,0.0,1,0,0
34,1,1.68,77.0,1,0,3.0,1.0,0,0,2.0,1,1.0,0.0,1,2,2
19,1,1.59,49.0,0,1,2.0,1.0,0,0,2.0,1,2.0,0.0,0,0,0
19,1,1.69,70.0,0,0,2.0,1.0,0,0,2.0,1,2.0,0.0,0,0,0
21,1,1.66,59.0,0,1,1.0,3.0,1,0,2.0,0,3.0,0.0,3,2,0
19,1,1.64,53.0,0,1,3.0,3.0,0,0,1.0,1,1.0,1.0,1,0,0
20,1,1.62,53.0,0,1,3.0,1.0,0,0,3.0,0,1.0,1.0,1,0,0
19,1,1.7,64.0,0,1,3.0,3.0,1,0,3.0,1,3.0,1.0,0,0,0
17,1,1.63,65.0,0,1,2.0,1.0,0,0,3.0,0,1.0,1.0,1,0,0
22,0,1.6,66.0,0,1,3.0,3.0,0,0,2.0,0,3.0,0.0,1,4,1
20,1,1.63,64.0,0,1,1.0,3.0,0,0,2.0,1,0.0,2.0,3,2,0
33,0,1.85,99.0,1,1,2.0,3.0,0,1,3.0,1,1.0,0.0,1,2,2
21,1,1.54,49.0,1,0,2.0,1.0,1,0,2.0,1,2.0,0.0,1,0,0
20,1,1.64,49.0,1,0,3.0,3.0,0,1,2.0,0,2.0,1.0,1,2,4
20,1,1.57,60.0,1,1,3.0,3.0,0,0,3.0,0,0.0,1.0,1,0,0
20,1,1.62,52.0,0,1,3.0,3.0,0,0,1.0,0,3.0,1.0,2,2,0
21,0,1.72,72.0,1,1,3.0,3.0,1,0,3.0,1,3.0,0.0,3,2,0
21,0,1.76,78.0,1,1,3.0,1.0,0,0,2.0,1,3.0,0.0,1,1,1
20,1,1.65,75.0,0,1,3.0,1.0,0,0,2.0,1,1.0,1.0,1,0,2
20,0,1.67,78.0,2,0,2.0,1.0,0,0,3.0,1,0.0,0.0,1,2,2
56,0,1.79,90.0,2,0,2.0,3.0,0,1,2.0,1,1.0,0.0,1,2,2
26,1,1.59,47.0,1,1,2.0,1.0,0,0,2.0,1,0.0,2.0,1,0,0
22,1,1.64,56.0,0,0,3.0,3.0,0,0,2.0,1,0.0,0.0,1,0,0
19,0,1.78,81.0,0,0,1.0,3.0,0,0,2.0,1,3.0,0.0,1,4,1
18,0,1.75,85.0,1,0,2.0,3.0,0,0,3.0,1,1.0,0.0,1,0,2
19,0,1.85,115.0,0,0,2.0,3.0,1,0,3.0,0,1.0,2.0,1,0,3
18,0,1.7,80.0,0,0,3.0,1.0,0,0,1.0,0,1.0,0.0,1,0,2
18,1,1.67,91.0,1,1,1.0,3.0,0,0,1.0,1,0.0,1.0,2,0,3
21,0,1.72,75.0,0,1,2.0,3.0,0,0,1.0,0,1.0,0.0,1,0,1
28,1,1.7,73.0,1,0,2.0,3.0,1,0,2.0,1,2.0,0.0,2,1,1
18,0,1.74,70.0,1,1,2.0,3.0,0,0,2.0,0,1.0,1.0,1,0,0
23,0,1.74,53.0,0,1,2.0,3.0,0,0,1.0,0,3.0,2.0,2,0,4
18,0,1.87,67.0,1,1,3.0,3.0,1,0,3.0,1,1.0,1.0,2,2,0
18,0,1.7,50.0,1,1,1.0,3.0,0,0,1.0,0,2.0,1.0,2,0,4
39,1,1.65,50.0,1,1,3.0,4.0,0,0,2.0,0,0.0,0.0,2,0,4
38,0,1.7,78.0,2,1,3.0,3.0,0,0,2.0,0,0.0,0.0,2,2,2
17,0,1.67,60.0,0,0,2.0,4.0,0,0,2.0,0,0.0,2.0,3,0,0
23,0,1.72,66.0,1,1,2.0,3.0,0,0,2.0,1,0.0,1.0,1,1,0
23,0,1.82,107.0,1,1,2.0,3.0,0,0,3.0,0,0.0,1.0,1,0,3
19,1,1.5,50.0,1,1,2.0,3.0,0,0,1.0,0,0.0,2.0,2,0,0
18,0,1.7,60.0,0,1,2.0,3.0,0,0,2.0,0,2.0,1.0,1,0,0
25,0,1.71,71.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,2,3,0
25,1,1.61,61.0,1,0,2.0,3.0,0,0,1.0,0,2.0,1.0,1,0,0
18,1,1.5,50.0,1,1,3.0,3.0,0,0,2.0,1,0.0,1.0,2,0,0
16,0,1.67,50.0,0,1,2.0,1.0,0,0,3.0,1,1.0,0.0,2,0,4
21,0,1.82,67.0,1,1,2.0,4.0,0,1,3.0,0,3.0,2.0,3,1,0
32,1,1.57,57.0,1,1,3.0,3.0,0,0,2.0,1,0.0,0.0,1,2,0
18,0,1.79,52.0,1,0,3.0,3.0,0,0,2.0,0,1.0,1.0,1,0,4
21,0,1.75,62.0,1,1,3.0,4.0,0,1,2.0,0,0.0,0.0,2,0,0
18,0,1.7,55.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,2,0,0
18,1,1.62,55.0,0,1,2.0,3.0,0,0,1.0,1,1.0,1.0,2,0,0
17,0,1.69,60.0,1,0,2.0,3.0,0,0,3.0,0,2.0,1.0,1,1,0
20,0,1.77,70.0,1,1,1.0,1.0,0,0,2.0,1,1.0,1.0,1,0,0
21,0,1.79,105.0,1,1,2.0,3.0,0,0,1.0,1,0.0,0.0,3,0,3
21,1,1.6,61.0,1,1,2.0,3.0,0,0,1.0,0,1.0,1.0,1,0,0
18,1,1.6,58.0,0,1,2.0,3.0,0,0,3.0,1,3.0,0.0,1,0,0
